,,,
Absorber,情绪吸收员,,吸收他人的乐观或者悲观情绪
Accuser,侵害者,,Pe——但仅针对一个成员
Aggressor,挑衅者,,Pe——惹恼或勾引他人
Amnesian Protector,失忆保护者,,加速忘记不好记忆
Appellisian,性前卫者,,高性感的，并且易冒险的
Architect,建筑家,,改造脑中空间的地点
Archivist,档案管理员,,知道系统经历过什么；幻境或现实中的
Artisan,造物师,,创造新的脑友
Artist,艺术家,,具有艺术天分
Assidumate,日常员,,做日常生活中的事情，别的成员可能不想做的
Autpiloteer,自动工作者,,代表自动工作者；或者不在前台但注意身体的成员
Avenger,复仇者,,Pr-比较愤怒的
Beauheur,悦者,,存储快乐并分享
Bionaut,NA,,因为和创伤隔离，所以处理现实生活
Blurnaut,混合物,,多个系统成员混合
Border,边境,,帮助其他系统成员在危机情绪或认知时刻时分离
Brainmate,思考物,,对系统大脑或者思考过程的象征物
Caesian,假一体,,和创伤隔离，并且假装说一个单意识体的系统成员
Caretaker,关怀员,,帮助其他系统成员并给予关怀
Cartographer,地图绘制家,,画脑中世界的地图
Cassmate,漠护,,缺乏情绪以保护系统
Census Taker,人口普查员,,计算系统里有多少个成员的
Coach,健康教练,,确认身体健康，有良好饮食习惯和运动
Co-Host,共宿主,Perinaut,共同承担宿主的职责
Coltenoir,怒息者,,以健康态度处理其他脑友的怒火
Comforter,舒服者,,让其他系统成员舒服
Communicator,沟通员,,更有效率地与其他成员交流
Companion,陪伴员,,陪伴他人
Confuser,困惑者,,让其他系统成员错误地理解创伤，如提供错误信息给治疗师等
Core,核心人格,,最早出生的人格
Cynic,悲伤者,,思考地比较负面
Debugger,除错员,,pr——让系统不会到之前虐待模式
Delusauxi,妄想者,,一个被其他人当做妄想的帮助者
Diplomat,外交官,,代表系统的意识体
Disciplinarian,规训家,,pr——让其他人有好的行动
Dissociation Manager,解离管理员,,处理解离
Dissonaut,NA,,Pr——帮助系统成员满足虐待者的要求
Double Agent,双介,,经受严重解离
Drowser,朦胧者,,拉着系统去睡觉
Dvalen,休眠管理员,,让其他脑友休眠或者唤醒休眠
Emotional Funnel,情绪漏斗,,偷走或者引流走其他系统成员的情绪
